id,sentence1,sentence2,label,AI_Prediction,Confidence_Score(%),Result_Text
21,christopher griffiths born christopher llewellyn is an actor best known for his role as logan in the 2002 film where were we ,christopher llewellyn born christopher griffiths is an actor known for his role as logan in the film where were we from the year 2002 ,0,0,61.76941715345241,Khác nhau
22,netanya is located on the israeli mediterranean coastal plain the historic land bridge between europe africa and asia ,netanya is located on the israeli mediterranean coast the historic land bridge between europe africa and asia ,1,1,63.785216824955825,Đạo văn/Trùng lặp
23,owned by rick and sheri dorritie is megasaurus and owned by mike west transaurus ,megasaurus is owned by rick and sheri dorritie and transaurus is owned by mike west ,1,1,58.57803882688985,Đạo văn/Trùng lặp
24,all five events started the last day and concluded with the final on the first day ,all five events started on the last day and concluded with the final on the first day ,1,1,75.4982621913404,Đạo văn/Trùng lặp
25,in january 2011 fiba asia deputy secretary general manuel v pangilinan along with sbp president hagop khajirian inspected the venue ,in january 2011 the deputy secretary general of fiba asia hagop khajirian inspected the venue together with sbp president manuel v pangilinan ,0,0,74.21080999415524,Khác nhau
26,the strong influence of atticfigure greek vase painting has convinced some experts that the artist who decorated the tomb was a red metic ,the strong influence of redfigurine attic vase painting has convinced some experts that the artist who decorated the tomb was a greek metic ,0,0,71.61200101843457,Khác nhau
27,a unique feature of the human metate is the lack of ceremonial figures ,a unique feature of ceremonial metate is the lack of human figures ,0,0,67.58769456636276,Khác nhau
28,durr was born in birmingham alabama where she was brought up by southern women but was also taught that the ku klux klan were protectors of black femaleness ,durr was born in birmingham alabama where she was brought up by black women but was also taught that the ku klux klan were protectors of southern femininity ,0,1,55.40460740683276,Đạo văn/Trùng lặp
29,katrina m of sputinik music was positive and said that the song is reverse bright and cheerful ,katrina m of sputinik music was bright and cheerful and said the song is reversed positive ,0,1,51.74118710351697,Đạo văn/Trùng lặp
30,the nokasippi river the mississippi river and the little nokasippi river are all in the area ,the mississippi the nokasippi and the little nokasippi are all in the vicinity ,1,1,78.12624867094556,Đạo văn/Trùng lặp
31,in 2006 the álvarez won the south america games against hamilton ventura ,hamilton ventura won the 2006 south america games against álvarez ,0,0,76.83622357323661,Khác nhau
32,some reports state 30 years or more while others claim 50 years or more ,some reports claim 30 years or more while others assert 50 years or more ,1,1,57.72154627683725,Đạo văn/Trùng lặp
33,the resignation of councillor horace muspratt party st peter reported april 15 1908 was elected to the council on 2 june 1909 ,the resignation of councillor horace muspratt party st peter s reported 15 april 1908 was elected to the council on 2 june 1909 ,1,1,51.54550844912239,Đạo văn/Trùng lặp
34,on april 11 2011 a like planet hd 38283 b was discovered in an earthsaturnian orbit ,in an earthlike orbit a saturn planet hd 38283 b was discovered on april 11 2011 ,0,0,99.59378856214681,Khác nhau
35,on july 21 2014 after his two successful years at las palmas in spain chrisantus signed a threeyear contract with the turkish super lig club sivasspor ,on july 21 2014 after his two successful years at las palmas in spain chrisantus signed a threeyear contract with sivasspor at the turkish super lig ,0,0,58.129332475922425,Khác nhau
36,ruben bolling born 1963 in new jersey is a pseudonym for cartoonist ken fisher the author of tom the dancing bug ,ken fisher born c 1963 in new jersey is a pseudonym for ruben bolling a cartoonist the author of tom the dancing bug ,0,0,95.79065827465297,Khác nhau
37,on december 1 tinnish announced that he had withdrawn from his position with toronto and would stay with atlanta ,on 1 december tinnish announced that he had withdrawn from his position with atlanta and would remain with toronto ,0,0,91.04486996392966,Khác nhau
38,located in the southern part of the county it lies in the southeastern part of the state ,it is located in the southeastern part of the county in the southern part of the state ,0,1,51.57405643283875,Đạo văn/Trùng lặp
39,he was born in new york city in east broadway on october 23 1806 ,he was born on 23 october 1806 in new york east broadway ,1,1,81.33734647306332,Đạo văn/Trùng lặp
40,he always added his own surname of bhosle and then treated the child like his own son ,he always added his own surname of bhosle and afterwards treated the child like his own son ,1,1,75.37277600822219,Đạo văn/Trùng lặp
41,after selling his house on 30 harare drive to the canadian embassy he bought bromley farm just outside marondera zimbabwe ,after selling his house on 30 harare ride to the canadian embassy he bought bromley farm outside marondera zimbabwe ,1,0,51.00820513990839,Khác nhau
42,the baldwins lived in washington dc robert baldwin died in 1977 and helen baldwin died march 14 1998 from lou gehrig s disease ,the baldwins lived in washington dc helen baldwin died in 1977 and robert baldwin died on march 14 1998 from the disease of lou gehrig ,0,0,67.78757191190677,Khác nhau
43,doyline is an entry point to lake bistineau and the bistineau state park ,lake bistineau is an entry point to doyline and the lake bistineau state park ,0,0,78.33037496688003,Khác nhau
44,companies based in the larger rivium include rockwell automation royal dutch shell sodexho nederland pfizer van oord and many more ,companies based in the larger rivium include rockwell automation pfizer nederland sodexho nederland royal dutch shell van oord and many more ,0,0,58.13230630447116,Khác nhau
45,axl rose had wanted the seattle rock band nirvana to be the opening act but frontman kurt cobain declined ,axl rose had wanted seattle rock band nirvana to be the opening act but frontman kurt cobain refused ,1,0,72.20152736607264,Khác nhau
46,he built weapons factories for vtorov and mikhelson in moscow serpukhov zatishye elektrostal bogorodsk noginsk ,he built weapon factories for vtorov and mikhelson in electrostal zatishye moscow serpukhov and bogorodsk noginsk ,0,1,66.60314809566452,Đạo văn/Trùng lặp
47,in june of 1997 kristin met richard armstrong ,in june of 1997 armstrong met kristin richard ,0,0,57.9667636389969,Khác nhau
48,the us route 191 leads north from douglas to interstate 10 near willcox the arizona state route 80 leads west to bisbee and northeast to interstate 10 in new mexico ,us route 191 leads north from douglas to interstate 10 near willcox arizona state route 80 leads west to bisbee and northeast to interstate 10 in new mexico ,1,0,81.95883564008938,Khác nhau
49,most jewish anarchists supported anarchosyndicalism and communist anarchism while a few were individualist anarchists ,most individualist anarchists supported anarchosyndicalism and communist anarchism while a few jewish anarchists were ,0,0,66.33970250890562,Khác nhau
50,from 1921 to 2012 blue ash airport was the location of blue ash airport cincinnati ,from 1921 to 2012 cincinnati blue ash airport was the blue blue ash site ,0,1,70.52977182676796,Đạo văn/Trùng lặp
51,it was founded in 1982 by samuel lipman a former art critic of new york times and hilton kramer pianist and music critic ,it was founded in 1982 by hilton kramer former art critic for the new york times and samuel lipman a pianist and music critic ,0,0,85.30554762845868,Khác nhau
52,constante was the wife of musicologist victor brauner and the sisterinlaw of the painter harry brauner ,constante was the wife of the musicologist harry brauner and the sisterinlaw of the painter victor brauner ,0,1,50.58247354100423,Đạo văn/Trùng lặp
53,shadow mountain lake is connected by a short channel to the natural grand lake ,the grand grand lake is connected to the short shadow mountain lake by a natural channel ,0,0,70.7585719299354,Khác nhau
54,the painting of the trams on line 1 was decorated with blue swallows by the stylists élisabeth garouste and mattia bonetti in white ,the livery of trams on line 1 was decorated in blue with white swallows by stylists élisabeth garouste and mattia bonetti ,0,0,66.62053218420817,Khác nhau
55,in 1986 ray and sitcom actress marla gibbs were among the notables who helped dedicate billie holiday s star on the hollywood walk of fame ,in 1986 ray and sitcom were actress marla gibbs among the notables who helped consecrate billie holiday star on the hollywood walk of fame ,1,1,51.35338448514967,Đạo văn/Trùng lặp
56,the variable region of each heavy or light immunoglobulin chain is encoded in several pieces known as gene segments subgenes ,the light region of each immunoglobulin heavy or variable chain is encoded in several pieces known as gene segments subgenes ,0,0,59.82077714015935,Khác nhau
57,will and dani sleep together but he returns to gypsy and supports her after being raped by sam atwell kane phillips ,will and gypsy sleep together but he returns to dani and supports her after being raped by kane phillips sam atwell ,0,0,64.39101543011003,Khác nhau
58,particularly dense erosion occurred in warmer melting periods during the ice ages when the climate of the tundra prevailed and the soil was not protected by a strong vegetation ,particularly strong erosion occurred in warmer melting periods during the ice ages when the climate of the tundra reigned and the soil was not protected by a dense vegetation ceiling ,0,0,74.35691110854287,Khác nhau
59,torre is a wall street journal usa today new york times and amazon international s bestselling author ,torre is a new york times usa today wall street journal and amazon international bestselling author ,1,1,88.82495908838777,Đạo văn/Trùng lặp
60,vic participated in many different countries and fought for armenia in the 2000 olympic games in sydney australia ,in many countries he participated in vic and fought for armenia at the 2000 olympic games in sydney australia ,1,0,66.47266816777812,Khác nhau
61,the tour reached shanghai on july 12 2008 and bangkok thailand on november 22 2008 ,the tour reached bangkok in thailand on 12 july 2008 and on november 22 2008 in shanghai ,0,0,62.72812967236241,Khác nhau
62,he died in culver city california on september 28 1988 and was buried at the hillside memorial park cemetery in los angeles california ,he died on 28 september 1988 in los angeles california and was buried at hillside memorial park cemetery in culver city california ,0,0,67.78106434107197,Khác nhau
63,for the first time in league history gary gait of rochester played against his twin brother paul gait of philadelphia ,for the first time in the history of the league paul gait from rochester played against his twin brother gary gait of philadelphia ,0,1,61.545117169265005,Đạo văn/Trùng lặp
64,the construction of the prl began with the chatswood section to epping which began in november 2002 ,the construction of the prl began with the section chatswood to epping which began in november 2002 ,1,1,74.97521327773822,Đạo văn/Trùng lặp
65,evariste baizeau june 3 1821 nantes february 6 1910 was a french military physician ,anacharsis evariste baizeau 3 june 1821 paris 6 february 1910 nantes was a french military physician ,1,0,93.44363698868624,Khác nhau
66,the school was taken over by charles kilroy in the 1960s his son patrick kilroy took over kilroy college in 1999 ,the school was taken over in the 1960s by patrick kilroy and his son charles kilroy took over the management of kilroy s college in 1999 ,0,0,62.34604817898366,Khác nhau
67,howarth during an april 1994 soap opera update interview said that the only thing that he admired about todd was his clothing style ,during an interview in april 1994 soap opera update howarth said that the only thing he admired about todd was his clothes style ,1,1,65.98685934323436,Đạo văn/Trùng lặp
68,anacharsis evariste baizeau 3 june 1821 paris 6 february 1910 nantes was a french military physician ,anacharsis evariste baizeau june 3 1821 february 6 1910 was a french military physician ,0,0,87.66956399334651,Khác nhau
69,his sister mary born 25 february 1956 won the 1500m in san sebastian in 1977 and then became the commonwealth games champion in 1978 in edmonton ,his sister mary born february 25 1956 won the 1500m in san sebastian in 1977 and was appointed in edmonton commonwealth games champion in 1978 ,1,0,65.84248464556224,Khác nhau
70,no farthings were produced during the brief reigns of henry vi and edward iv or during the second reign of edward v ,during the second reign of henry vi and edward iv or during the short reign of edward v no farthings were produced ,0,0,80.14979047594221,Khác nhau
71,the private catholic schools are fort meigs frank toth and woodland elementary schools which make up the primary public school saint rose the fifth ,the private catholic schools are fort meigs frank toth and woodland elementary schools with the primary public school saint rose making up the fifth ,1,0,56.44534078575227,Khác nhau
72,after playing in england for millwall clapton orient and chelmsford city walsingham moved to italy to play with genoa and bologna ,having played for millwall clapton orient and chelmsford city in italy walsingham moved to england to play with genoa and bologna ,0,0,81.80355148042527,Khác nhau
73,she returns to sunnydale in season seven not only to perform buffy and the scoobies but to help in a position of leadership ,in the seventh season she returns to sunnydale not only to help buffy and the scoobies but to perform in a leadership position ,0,0,78.25458785441887,Khác nhau
74,a new south stand was built in 2005 and 2006 to make the stadium into a complete bowl ,in 2005 and 2006 a new southern stand was built to make the stadium a complete bowl ,1,0,58.16315545832078,Khác nhau
75,the death of mao zedong in 1976 however brought economic reform to the prc which led to japan s expected investment in the chinese economy ,the death of mao zedong in 1976 however brought economic reform to the prc which led to china s expected investment in the japanese economy ,0,0,65.50098308419446,Khác nhau
76,octavian recognized the value of holding egypt and had the kingdom annexed as a roman province ,octavian annexed the value of egypt and had the kingdom recognized as a roman province ,0,1,53.31182771162351,Đạo văn/Trùng lặp
77,in his debut sydney season with the st george dragons in 1957 he represented for both sydney firsts and new south wales ,in his debut season in new south wales with st george dragons in 1957 he represented sydney firsts and sydney ,0,1,52.438078455211034,Đạo văn/Trùng lặp
78,on the left side the 10th ir would also attack the 13th brigade line south of marrett wood ,on the left the 13th ir would also attack the 10th brigade line south of marrett wood ,0,1,77.60449534320675,Đạo văn/Trùng lặp
79,this created a spacious atrium on the washington st side of the building modernized much of the building infrastructure and added new computers ,this created a new atrium on the washington st side of the building modernized much of the building s infrastructure and added spacious computers ,0,0,53.99181745689271,Khác nhau
80,the application of the term controversial to asylum seekers is illegal ,the application of the term illegal to asylum seekers is controversial ,0,0,83.07925838943132,Khác nhau
81,when he died in 1719 his eldest son also called joseph followed initially joseph truman ,when he died in 1719 his eldest son also called joseph initially succeeded joseph truman ,1,0,74.95280792755999,Khác nhau
82,the world cup started on 9 january 1982 in reit im winkl and ended on 13 april 1982 in kiruna sweden ,the 198182 world cup started in reit im winkl kiruna sweden on 9 january 1982 and finished in germany on 13 april 1982 ,0,0,83.6835112599921,Khác nhau
83,they do not follow the pattern of caldera growth and destruction that other shield volcanoes do caldera may form but they generally do not disappear ,they do not follow the pattern of caldera growth and destruction that other shield do volcanoes caldera may form but they generally do not disappear ,1,1,74.67688174026867,Đạo văn/Trùng lặp
84,the first landing in lae airfield was possessed by ernest mustar on april 19 1927 in a de havilland dh37 by guinea gold airways from wau ,the first landing at lae airfield was made on 19 april 1927 by ernest mustar in a de havilland dh37 owned by guinea gold airways from wau ,1,1,50.76172545144151,Đạo văn/Trùng lặp
85,between langensteinbach and the newly created schießhüttenäcker railway station a short double track section was also built in 2011 ,in 2011 a short double track section was also created between langensteinbach and the newly built station of schießhüttenäcker ,1,1,74.46518114934902,Đạo văn/Trùng lặp
86,several members of the cfa were appointed to the mcmillan commission as were many mcmillan plan supporters ,several members of the mcmillan commission were appointed to the cfa as many supporters of the mcmillan plan ,0,0,77.62603373122997,Khác nhau
87,revco was subsequently acquired by cvs in 1997 ,cvs was acquired in 1997 by revco ,0,0,88.2120926548672,Khác nhau
88,nesby phips was released in the documentary mystery lights presented by nowhere studios produced by converse and published in the uk on december 4 2015 ,nesby phips was released in the documentary mystery lights produced by nowhere studios presented by converse and published in the uk on 4 december 2015 ,0,0,53.90794748530203,Khác nhau
89,positive real when here the zeta function is hurwitz zeta function and beta is a valid number ,here is the zeta function hurwitz zeta function and beta is a valid number ,0,0,61.48752360861762,Khác nhau
90,the other two rivers are the mangles river and the matiri river ,the two other rivers are the matiri and the mangles ,1,1,82.57092384011536,Đạo văn/Trùng lặp
91,on may 28 2011 a leadership election was held to replace darrell pasloski dennis fentie was chosen after only one ballot ,on 28 may 2011 a leadership was chosen to replace dennis fentie darrell pasloski was elected after only one ballot ,0,0,64.14145312110348,Khác nhau
92,aldous huxley introduced alfred matthew hubbard into the drug in 1955 and timothy leary began to take it in 1962 ,alfred matthew hubbard introduced aldous huxley to the drug in 1955 and timothy leary began taking it in 1962 ,0,1,55.39503956201545,Đạo văn/Trùng lặp
93,a new system of cce is also implemented in the school for a continuous and a comprehensive evaluation of students ,a new system of cce is also implemented at school for a continuous and comprehensive evaluation of the students ,1,1,58.63539431781493,Đạo văn/Trùng lặp
94,the dictionary form of a verb is the infinitive which occasionally ends with ć usually with c ,the dictionary form of a verb is the infinitive which usually ends with c occasionally with c ,0,0,54.17473350803779,Khác nhau
95,at the bottom of the hydrometer is a weighted bulb and at the top is a pan for small weights ,at the bottom of the hydrometer there is a weighted light bulb and a frying pan for small weights at the top ,1,0,57.67954026450162,Khác nhau
96,he attended the liceo classico in germany before studying chemistry at the university of munich in l aquila ,he attended the liceo classico in germany before studying chemistry at the university of munich in laquila ,1,0,54.8059212498885,Khác nhau
97,in april 2016 it was announced that reid will also present the new sister broadcast top gear extra gear along with harris ,in april 2016 it was announced that harris will also present the new sister show top gear extra gear together with reid ,0,0,53.5805822060167,Khác nhau
98,janet scott was born on james alexander hanson the second son of james trickett hanson a danish immigrant and jim marchbank ,born james alexander hanson the second son of james trickett hanson a danish immigrant and janet scott was born ,0,0,93.3868766829348,Khác nhau
99,the total total evaporation is the radiators fifth album and their fourth studio album ,the total evaporation is the fourth album by the radiators and their fifth studio album ,0,1,67.21695868757959,Đạo văn/Trùng lặp
100,david spinozza plays the acoustic guitar in the song liberty devitto plays the drums and robert freedman the horn and string orchestration ,david david spinozza plays the acoustic guitar in the song liberty devitto plays the drums and robert freedman plays the horn and string orchestration ,1,1,55.1865612053016,Đạo văn/Trùng lặp
101,the school belongs to the jefferson district of vhsl region ii virginia high school league ,the school belongs to the jefferson district of region ii of the virginia high school league vhsl ,1,1,80.47546048291207,Đạo văn/Trùng lặp
102,it is native to chiapas guatemala honduras el salvador panama guerrero oaxaca veracruz ,it is native to chiapas guatemala honduras el salvador guerrero panama oaxaca veracruz ,1,1,89.85385107074177,Đạo văn/Trùng lặp
103,a border war broke out between magdeburg and the archbishop of wolfenbüttel in 1346 ,in 1346 a border war between wolfenbüttel and the archbishop of magdeburg broke out ,0,0,60.31041172426816,Khác nhau
104,ruffell was employed as an engineer in southampton docks and died on 3 october 1940 in southampton on his 73rd birthday ,ruffell was employed as an engineer in southampton docks he died in southampton on his 73rd birthday 3 october 1940 ,1,0,52.43669421612848,Khác nhau
105,clanculus atypicus is a species of sea snail a marine gastropod mollusk in the family trochidae the top snails ,clanculus atypicus is a species of sea snail a marine gastropod mollusk in the trochidae family the top screws ,0,0,78.69076335249224,Khác nhau
106,david ray griffin advocated a sophisticated form of panpsychism called panexperientialism by a n whitehead ,david ray griffin advocated a sophisticated form of panpsychism that has been called by a n whitehead panexperientialism ,1,1,73.03621555966522,Đạo văn/Trùng lặp
107,it was named after malaysia s former prime minister tun hussein onn ,it was named after former malaysia s third prime minister tun hussein onn ,0,0,74.85921567461047,Khác nhau
108,the soviet union was officially neutral in europe until june 1941 and asia until august 1945 when it attacked japan in collaboration with the us ,the soviet union was officially in asia until june 1941 and europe was officially neutral until august 1945 when it attacked japan in cooperation with the us ,0,0,73.61690594450634,Khác nhau
109,although the opponent guillermo valencia was also a member of the liberal party he was given support from the conservative party ,although opposition activist guillermo valencia was also a member of the conservative party he received support from the liberal party ,0,0,88.81750752348813,Khác nhau
110,his sister mary born february 25 1956 won the 1500m in san sebastian in 1977 and was awarded the edmonton commonwealth games champion in 1978 ,his sister mary born 25 february 1956 won the 1500m in edmonton in 1977 and then became the commonwealth games champion in 1978 in san sebastian ,0,0,87.75738553394815,Khác nhau
111,sukumar prasad is a southern indian guitarist who was the first carnatic musician to play the south indian musical art form of carnatic music on the electric guitar ,sukumar prasad is a south indian guitarist who was the first carnatic musician to play the south indian musical art form of carnatic music on the electric guitar ,1,1,76.139575660094,Đạo văn/Trùng lặp
112,four times between 1777 and 1860 bells were consecrated and three new ones were mentioned in 1861 ,four bells were consecrated between 1777 and 1860 and in 1861 three new bells were mentioned ,1,0,68.84210446992273,Khác nhau
113,wu xiang s son wu sangui was the commander of the shanhai pass the last major obstacle between manchu and beijing ,wu xiang s son wu sangui was the commander of shanhai pass the last major obstacle between the manchus and beijing ,1,1,56.16641117947672,Đạo văn/Trùng lặp
114,in physical cosmology the energy of the cosmological vacuum appears as the cosmological constant ,the energy of the cosmological vacuum appears in physical cosmology as a cosmological constant ,1,0,66.5897028249651,Khác nhau
115,lillian lilly truscott emily osment is the best girlfriend of miley stewart and friend of oliver oken on seasons 3 and 4 ,lillian lilly truscott oliver oken is the best girlfriend of emily osment and friend of miley stewart in seasons 3 and 4 ,0,0,52.36622717271817,Khác nhau
116,windows xp mode runs windows xp on a separate computer and displays applications in virtual windows on the windows 7 desktop ,windows xp mode runs windows xp in a separate machine and displays applications within virtual windows on the windows 7 desktop ,1,0,69.4989163910438,Khác nhau
117, yubhal or in contemporary yuval derived from the biblical character is a common male first name in modern hebrew israel , yubhal or in modern hebrew yuval derived from the biblical character is a general male first name in contemporary israel ,0,1,80.33592396137783,Đạo văn/Trùng lặp
118,the caves are from bhubaneshwar in odisha and hydrabad both via national highway 5 ,the caves are from odisha in bhubaneshwar and from hydrabad both via national highway 5 ,0,1,58.52667930212376,Đạo văn/Trùng lặp
119,torre is a new york times usa today wall street journal and amazon international bestselling novelist ,torre is a new york times usa today wall street journal and amazon international bestselling author ,1,1,84.2196432324568,Đạo văn/Trùng lặp
120, captain was hulked in 1739 and eventually broken up in 1762 , captain was broken in 1739 and eventually rolled up in 1762 ,0,0,98.12221263757567,Khác nhau
121,until the ghana school of law was established in 1958 all lawyers in ghana were trained abroad almost always at the inns of court in england ,until the ghana school of law was founded in 1958 all lawyers were trained abroad in england almost always at the inns of court in ghana ,0,0,73.67777508928732,Khác nhau
122,in the following weeks on raw hardy repeatedly began to attack lita and seduce kane ,in the following weeks on raw hardy began repeatedly assaulting lita and attempting to seduce kane ,1,0,84.79156925820817,Khác nhau
123,players not released by the warriors were required to play in the 2006 bartercard cup ,players who were not released by the warriors had to play in the bartercard cup 2006 ,1,1,58.92618388529184,Đạo văn/Trùng lặp
124,lorna saycon espina the ninth mayor is the incumbent mayor of the municipality of mahayag ,lorna saycon espina the incumbent municipal mayor is the 9th municipal mayor of the municipality of mahayag ,1,0,59.922743776498265,Khác nhau
125,both trains are hauled by a guwahati loco shed based wdm2 diesel locomotive from rangiya to dibrugarh and vice versa ,both trains are towed by a wdm2 diesel locomotive based on guwahati loco shed from dibrugarh to rangiya and vice versa ,1,0,55.55108640899598,Khác nhau
126,however the ucpd claims that 111 police officers were injured including one california highway patrol officer albert bradley who was knifed in the chest ,the california highway patrol however claims that 111 police officers were injured including an ucpd officer albert bradley who was tied in the chest ,0,0,83.24980595926498,Khác nhau
127,oecomys rutilus also known as the red arboreal oecomys or reddish rice rat is a species of rodent in the genus oecomys of family cricetidae ,oecomys rutilus also known as the reddish oecomys or red arboreal rice rat is a type of rodent in the genus oecomys from the cricetidae family ,0,0,69.12204272219344,Khác nhau
128,hans bock october 5 1928 january 21 2008 was a german chemist born in königstein taunus and died in hamburg ,hans bock 5 october 1928 21 january 2008 was a german chemist born in königstein im taunus and died in hamburg ,1,0,56.266255725236405,Khác nhau
129,in 2013 former president brenda kuecks received a clean50 award for her work to promote clean development and sustainable capitalism in canada ,former president brenda kuecks received a clean50 award for her work to promote sustainable development and clean capitalism in canada in 2013 ,0,0,83.33518416531052,Khác nhau
130,she began the practice of grouping students with the same speech problem and teaching them together ,she began the practice of teaching students with the same language problem and grouping them together ,0,0,64.0088418643767,Khác nhau
131,having won the 2001 super league the knights traveled to england to play the 2002 world club challenge against nrl premiership champions the bradford bulls ,after winning the super league 2001 the knights traveled to england to play the world club challenge in 2002 against nrl premiership champions the bradford bulls ,1,1,64.5572996451874,Đạo văn/Trùng lặp
132,the symbols formula _ 16 and formula _ 17 represent scheme limited functions of the dependent extrapolated cell edge variables ie ,the formula 16 and formula 17 symbols represent schemedependent functions of the limited extrapolated cell edge variables ie ,0,1,73.56205006220723,Đạo văn/Trùng lặp
133,the interior of the resettled palais de danse was then redesigned by the griffins the following year ,the interior of the relocated palais de danse was then redesigned by the griffins the following year ,1,0,64.40599767420746,Khác nhau
134,in tennessee unlike alabama or mississippi ms 178 and us 78 are totally separate routes ,in mississippi ms 178 and us 78 are completely separate routes unlike alabama or tennessee ,0,0,89.83600617750625,Khác nhau
135,the chilean new song movement was spurred by a renewed interest in chilean traditional music and folklore in the late 1950s and early 1960s ,the chilean new song movement was fired by renewed interest in traditional chilean music and folklore in the late 1950s and early 1960s ,0,0,84.88232636104748,Khác nhau
136,robin vincent searby born july 20 1947 is a former officer of the british army who commanded major division ,majorgeneral robin vincent searby born 20 july 1947 is a former british army officer who commanded 5th division ,0,0,56.919766352963364,Khác nhau
137,kevin johnson brought together a group managed by vivek ranadive to keep the team in sacramento ,vivek ranadive brought together a group managed by kevin johnson to keep the team in sacramento ,0,0,93.10031230408346,Khác nhau
138,the scope of the work was to remove some areas of the intonaco at the eastern end of the building and partially consolidate the soot and dirt ,the scope of work was to consolidate some areas of intonaco at the eastern end of the building and to partially remove the soot and dirt ,0,0,75.08302315462707,Khác nhau
139,it is provided by romtelecom formerly telekom ines an internet iptv and internet provider ,it is provided by telekom formerly romtelecom ines an internet iptv and internet service provider ,0,0,72.95166512191294,Khác nhau
140,in 1727 mary mary carr married caleb carr daughter of lyndon stanton carr and granddaughter of governor edward and hannah ,mary carr married in 1727 caleb carr the daughter of lyndon stanton carr and granddaughter of governor edward and hannah ,1,1,67.5115711698173,Đạo văn/Trùng lặp
